"","company","rating","salary","city","state","description","companysize","industy"
"299","ServiceChannel",4.3,"$72k-$107k","New York","NY"," Retail businesses are the backbone of the American economy as they bring communities and jobs together. Facility management is one of the toughest and least predictable aspects of the retail business. Solving this problem will help businesses and local communities thrive.  For last 17 years, Service Channel is on a mission to take facility management under control. We manage over 200,000 locations and have an unparalleled historical dataset of addressing all aspects of the problem. Our work environment is dynamic, collaborative, and entrepreneurial. We are looking for energetic, positive, creative problem solvers who don’t mind digging in and getting their proverbial hands dirty. We are committed to creating a great product for our customers and a great work environment for our employees to succeed professionally and personally.  The mission of Service Channel AI Labs is to move the retails industry forward by bringing the power of AI and IOT to solve the problems we all experience in the physical world. This is a groundbreaking opportunity as you will help to define our AI and product strategy.  You are a skilled Data Scientist with the following powers:Critical thinking. You will gain the deep understanding of the business problem and convert it to mathematical models.Data Wrangling (Python, SQL, API Calls, Unstructured files)Good understanding of applied mathematical methodsDeep Data Mining and Machine Learning expertise.Hands-on mathematical modeling in pythonData Visualization and the ability to communicate the results of your findings.Nice to have:Deep learning with Tensorflow and KerasAdditional perks:We embrace distributed teams and working families. Very flexible hours and work location.Strong 401k matchingGreat healthcare plan for you and the whole familyConferences and online learningGrowth opportunities The preference is given to applicants with a portfolio in form of Jupyter notebook or blog demonstrating end to end solution for a chosen problem statement. Why Work for Us? We are firm believers in working to live and not living to work. Don’t get us wrong, we work hard and do what it takes to get the job done, but we value a healthy work/life balance and have a lot of fun along the way. Our office is very relaxed and filled with foodies, music lovers, travelers and sports nuts.  We always strive to create the best possible benefits for our ServiceChannel team members. In addition to offering the basics: health insurance, life insurance, 401k with match, and paid time off, we also offer paid family leave, mobile phone reimbursement, and flex-time / telecommuting options (to name a few). Our greatest benefit, however, is our amazing ServiceChannel team!  Please include the following in your package: Salary/compensation requirements/expectations US Citizen or Permanent Alien Resident applicants considered.  ServiceChannel is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, or national origin","51-200","Enterprise Software & Network Solutions"
"300",NA,3.8,"$74k-$119k","Baltimore","MD",NA,"1-50",NA
"301","Enigma",4.1,"$78k-$116k","New York","NY"," At Enigma we are passionate about the transformative power of data and about crafting the next generation of technology to unlock this potential. Data is fundamental to everything we do, and our data scientists are essential to the company's success. We are looking for talented and motivated Data Scientists to join our Analytics Team. The Analytics Data Science Team: The mission of the Analytics Data Science team is to discover, demonstrate, and deliver insights for Enigma's customers. The data problems that we solve are uncommonly fascinating and diverse. As a member of the team, you'll improve industries ranging from finance to pharmaceuticals to manufacturing, and you'll collaborate with journalists and public agencies. Whether working with the world's broadest collection of public data or with our customers' own repositories, you will be focused on the human problems that motivate technical challenges. The Role: As a Data Scientist your contributions will have significant impact on the success of client engagements and product innovations. Youll bring quantitative rigor and acuity to complex data tasks, quickly delivering thorough and reliable analysis and code. Your data experience and intuition allow you to work autonomously, but you also love collaboration and are generous with your time for colleagues and customers alike. You have a command of data science fundamentals, but you understand that communication is as important as technical know-how; you can talk in both stories and numbers. You are motivated by business challenges and you recognize that success is ultimately about solving people problems, not technology problems. You dream about algorithms and are obsessed with metrics. While you are excited by cutting-edge methods, your fascination with innovative technology does not distract you from straightforward solutions when appropriate. Not least, you share our enthusiasm for using public data to support better decisions at all levels of enterprise and government. What we look for:A master's in a quantitative discipline, or equivalent experience and depth of knowledge via data-intensive rolesAt least 2 years of professional experience in a data science role with tangible outcomesExcellent communication skills, oral, written, and visualEntrepreneurial initiative and customer-centric perspectiveHighly motivated and autonomousDemonstrated ability to collaborate with multi-functional teamsCreative and versatile problem-solving skillsAttention-to-detail balanced with an ability to prioritize diverse tasksTechnical Skills:Statistics: strong practical skills and solid theoretical foundation - you can apply the appropriate method for a given problem, and you can communicate your reasons for doing soModeling: solid knowledge of practice and theory - you can implement and optimize appropriate methods for diverse problems, and you can support your choices of machine learning algorithmsAnalytical programming - proficient with libraries for cleaning, reshaping, exploring, and visualizing data; 2+ years of Python preferredExperience with any of the following is desirable: entity resolution, probabilistic record linkage, information retrieval, graph databases, data integration, predictive analytics Our story  Enigma is a rapidly growing team based in the Flatiron neighborhood of New York City. We are Series B funded and backed by an amazing roster of investors, including NEA Ventures, Two Sigma Ventures, American Express Ventures, and The New York Times Company.  Founded in 2012, Enigma grew out of an effort to retrieve, normalize, and host public data. Fun fact: our big coming out party was winning TechCrunch Disrupt's 2013 Battlefield. Our vision is to empower people to interpret, and improve, the world around them.  We are proud to be an equal opportunity workplace and an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.","51-200","Enterprise Software & Network Solutions"
"302",NA,NA,"$96k-$144k","San Francisco","CA",NA,"1-50",NA
"303","Booz Allen Hamilton Inc.",3.7,"$72k-$112k","San Antonio","TX","Job Number: R0014233Booz Allen Hamilton has been at the forefront of strategy and technology for more than 100 years Today, the firm provides management and technology consulting and engineering services to leading Fortune 500 corporations, governments, and not-for-profits across the globe. Booz Allen partners with public and private sector clients to solve their most difficult challenges through a combination of consulting, analytics, mission operations, technology, systems delivery, cybersecurity, engineering and innovation expertise.Data ScientistKey Role:Lead the design and development of machine learning algorithms and engage data visualizations as part of an innovative data science team. Perform highly complex analysis, design, development, testing, and debugging of developed algorithms. Analyze and apply advanced methods, theories, and research techniques in the investigation and testing of complex and advanced software applications and problems. Leverage technical and analytical expertise to explore and examine data from multiple disparate sources with the goal of discovering patterns and previously hidden insights that in turn can provide a competitive advantage or address a pressing business problem. Apply expertise in computer science, software development, and the latest technologies to design and implement analysis infrastructure and tools, analytic workflow processes, and complex data visualizations. Leverage knowledge of mathematical and statistical concepts, computer science, or domain expertise to bridge the gap among business analysts, engineers, technologists, and mathematicians to ensure software solutions meet analytic requirements.Basic Qualifications:-5+ years of experience with designing and implementing machine learning, data mining, statistics, or graph algorithms in an academic or professional work environment-5+ years of experience with programming in Python, R, or another language-Experience with thinking creatively to develop innovative solutions in a team environment-Experience with conducting feature engineering from scratch-Experience with Logistic Regression, SVM, Decision Tree, Random Forest, or Isolation Forest-Experience with implementing Machine Learning algorithms at the Big Data scale-Experience with data visualization tools and techniques-Experience with virtual machine environments and presenting complex model results to the client routinely-TS/SCI clearance-BA or BS degreeAdditional Qualifications:-Experience with Deep Learning techniques-Experience with High Performance Computing (HPC)-Experience with developing solutions using Elasticsearch, Amazon Web Services (AWS), SQL, NoSQL, Spark, Hadoop, or other Big Data architectures-MA or MS degree preferred; PhD degree in CS, Mathematics, Engineering, or a related technical field a plusClearance:Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance is required.Integrating a full range of consulting capabilities, Booz Allen is the one firm that helps clients solve their toughest problems by their side to help them achieve their missions. Booz Allen is committed to delivering results that endure.We are proud of our diverse environment, EOE, M/F/Disability/Vet.","10000--1","Consulting"
"304","Ascena Retail Group",3.5,"$84k-$130k","Pataskala","OH"," External Job Description  ascena's Advanced Analytics group is seeking exceptional, highly motivated and self-directed data scientists. In this role, you will perform data-driven research, problem solving, and algorithm development through the systematic application of mathematics, statistics and computer science as well as cutting edge data technologies. Results of this work manifest themselves in a variety of ways, including interactive visualizations, presentations, publications, web applications, predictive algorithms, and APIs. This role is newly formed and will develop and maintain knowledge from a strategic data asset.  Duties Develop algorithms and predictive models, create prototype systems, visualizations, and web applicationsDesign and analyze experimentsEffectively implement and test advanced analytics models in production environmentUse your engineering and data science modeling skillset to implement and keep models in optimal production state.Act as consultant to cross functional teams, advise how to best leverage results of advanced analytics models in production.Implement models in modeling production platformAnalyze data, build models and assess their qualityDesign experiments and evaluate the resultsAd-hoc Statistical requestsCommunicating results and recommendations to senior managementResearch next-generation statistical techniques.Requirements3-5 years working with data and relevant computational frameworks and systemsIntermediate level understanding in any of the following areas: machine learning, probability and statistics (esp. Bayesian methods), natural language processing, operations researchBachelor's or Master's degree in a quantitative discipline (Quantitative Analysis, Statistics, Computer Science, Mathematics, Electrical Engineering, etc) is requiredExceptional problem solving skills and willingness to learn new concepts, methods, and technologiesKnowledge of R, Python, big data frameworks, Spark, SASAbility to work in a highly collaborative environmentOutstanding communication skillsAuthorized to work in the US with or without sponsorship","10000--1","Department, Clothing, & Shoe Stores"
"305","ServiceChannel",4.3,"$72k-$107k","New York","NY"," Retail businesses are the backbone of the American economy as they bring communities and jobs together. Facility management is one of the toughest and least predictable aspects of the retail business. Solving this problem will help businesses and local communities thrive.  For last 17 years, Service Channel is on a mission to take facility management under control. We manage over 200,000 locations and have an unparalleled historical dataset of addressing all aspects of the problem. Our work environment is dynamic, collaborative, and entrepreneurial. We are looking for energetic, positive, creative problem solvers who don’t mind digging in and getting their proverbial hands dirty. We are committed to creating a great product for our customers and a great work environment for our employees to succeed professionally and personally.  The mission of Service Channel AI Labs is to move the retails industry forward by bringing the power of AI and IOT to solve the problems we all experience in the physical world. This is a groundbreaking opportunity as you will help to define our AI and product strategy.  You are a skilled Data Scientist with the following powers:Critical thinking. You will gain the deep understanding of the business problem and convert it to mathematical models.Data Wrangling (Python, SQL, API Calls, Unstructured files)Good understanding of applied mathematical methodsDeep Data Mining and Machine Learning expertise.Hands-on mathematical modeling in pythonData Visualization and the ability to communicate the results of your findings.Nice to have:Deep learning with Tensorflow and KerasAdditional perks:We embrace distributed teams and working families. Very flexible hours and work location.Strong 401k matchingGreat healthcare plan for you and the whole familyConferences and online learningGrowth opportunities The preference is given to applicants with a portfolio in form of Jupyter notebook or blog demonstrating end to end solution for a chosen problem statement. Why Work for Us? We are firm believers in working to live and not living to work. Don’t get us wrong, we work hard and do what it takes to get the job done, but we value a healthy work/life balance and have a lot of fun along the way. Our office is very relaxed and filled with foodies, music lovers, travelers and sports nuts.  We always strive to create the best possible benefits for our ServiceChannel team members. In addition to offering the basics: health insurance, life insurance, 401k with match, and paid time off, we also offer paid family leave, mobile phone reimbursement, and flex-time / telecommuting options (to name a few). Our greatest benefit, however, is our amazing ServiceChannel team!  Please include the following in your package: Salary/compensation requirements/expectations US Citizen or Permanent Alien Resident applicants considered.  ServiceChannel is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, or national origin","51-200","Enterprise Software & Network Solutions"
"306",NA,3.8,"$74k-$119k","Baltimore","MD",NA,"1-50",NA
"307","MedAmerica",3.3,"$96k-$139k","Emeryville","CA"," Job DescriptionHelp Us Enhance Patient Care Across AmericaThe MedAmerica Team. We innovate using our diverse business, analytic, and communications skills to tackle the challenges of today’s complex healthcare landscape. We reward excellence in our mission to enhance patient care across the health care continuum. We collaborate, cooperate, and celebrate our unique contributions because we know we can achieve more together than we can alone.  From our administrators and management consultants to our recruiters, data and financial analysts, developers, and marketers—we help the providers and hospitals we serve improve patient outcomes, operational efficiencies, revenue, and job satisfaction.  As a member of the MedAmerica team, you’ll put your skills to work helping our providers improve the care of the 6 plus million patients our providers treat annually in over 250 practices throughout the United States. You’ll have the recognition and support you need to grow professionally. And you’ll have the opportunity to discover work you really love in a family oriented company that wants you to succeed. JOB SUMMARY:Data Scientist is responsible for mining complex data and designing new ways to incorporate vast information and data with a focus on managing statistical data. Create different models based on the full-scope needs of MedAmerica. Process research information for easier consumption and transform it into actionable plans. Provide value-added enterprise level reporting and business analytics through findings and thoughtful insights. This role’s primary focus will be in applying data mining techniques, doing statistical analysis, and building prediction systems that can be assimilated into our products or provide value as a stand-alone project. The position will be a part of our Applied Analytics team, with a focus on developing meaningful ways to track, understand, and ultimately improve our business. This individual will need to provide high quality work in a constantly changing environment and work effectively in a team environment, including interactions with customers, peers, clinicians, and management. PRIMARY RESPONSIBILITIES:Data Mining and Modeling (50%)Mine complex data and design new ways to incorporate information for CEP and MedAmerica staff.Apply data mining techniques, conduct statistical analysis, and build prediction systems to be assimilated into MedAmerica’s products or provide value as a stand-alone project.Collaborate with appropriate stakeholders and SMEs to understand the full-scope business needs.Develop innovative value-added analytical processes to support client and provider goals.Create different models based on the full-scope needs of CEP and MedAmerica.Process research information for easier consumption and transform it into actionable plans.Provide value-added enterprise level reporting and business analytics through findings and thoughtful insights.Gather requirements for customized solutions and provides alternative solutions. With an understanding of business needs, translate data models into long-term solutions.Understand and communicate project activity, and produce measurable improvements in business performance metrics.Perform and interpret data studies and product experiments concerning new data sources or new uses for existing data sources. Develop Intra-Team Collateral (20%)Develop prototypes, proof of concepts, algorithms, predictive models, and custom analysis.Provide analytical and research services to support enterprise level reporting and business analytics.Extend company’s data with third party sources of information as needed. Process Improvement (10%)Research new and existing data sources in order to contribute to new development, improve data management processes, and make recommendations for data quality initiatives.Design and build new data set processes for modeling, data mining, and production purposes.Create automated anomaly detection systems (signal/noise).Determine new ways to improve data and search quality, as well as predictive capabilities.Process, cleanse, and verify the integrity of data. Cleanse and transform data from raw data inputs. Documentation (10%)Create documentation of business processes, training procedures, and standard operating procedures.Define data specification, flow mappings, and business logic documentation associated with new or modified product data capture requirements.Adhere to specific, strict company and industry guidelines concerning privacy and confidentiality of electronic health records (EHR).Observe data privacy rights to avoid legal issues and maintain compliance with applicable federal and state health privacy laws and organizational policies regarding electronic health information exchange. Ad Hoc (10%)Perform ad-hoc analysis and present results in a clear manner.Help build and routinely extraction from Hadoop for analytic purposes.Work on complex problems where analysis of situations or data requires in-depth evaluation of various factors.MINIMUM QUALIFICATIONS:Formal Education & CertificationAn advanced degree (M.S., PhD.), preferably in Statistics, Computer Science, Applied Mathematics, Physical or Life Sciences, Economics, or a related technical field. Knowledge & ExperienceSQL skills, including experience querying large, complex data sets.Minimum five years of experience with MS SQL Server TSQL or Oracle RAC, PL/SQL, including experience with query optimization, indexing, replication, data presentation to business users.Experience with supervised and unsupervised modeling.Strong analytical and problem-solving skills.Organized, goal-oriented, self-starter, able to manage multiple tasks from start to completion with limited supervision.Proficiency using data analysis tools such as SAS, R, Stata, or Python (numpy, pandas).Experience working with relational and NoSQL data sources.Experience using statistics and machine learning to solve complex business problems.Solid foundation in analytics, with proven history of data-oriented project completion.Experience in the healthcare industry is a plus.Knowledge of BI tools such as Tableau and Qlik is a plus. Personal AttributesDemonstrates and promotes a workplace culture of innovation, high performance, accountability, commitment, respect and teamwork.Ability to manage time and workload effectively which includes planning, organizing, and prioritizing with attention to details.Demonstrate ability to prioritize, multi-task, and work with minimal supervision in a team environment.Aptitude to quickly come up to speed on new technology concepts.Must be independent and motivated to learn new skills.Maturity to strike a balance between showing initiative and seeking appropriate guidance and input from others.Results-focused, proactive and detail-oriented.Nimbleness and comfort with ambiguity. Why MedAmerica? When you work at MedAmerica, you share your talents with an awesome team that makes coming to work empowering and fun. That’s why our employees have voted us a Best Place to Work in the Bay Area for nine years. That and some pretty incredible benefits: Competitive benefits package: Superior health plan options, best in class 401k plan (with a very generous company match like you’ve never seen before), 3 weeks paid vacation in your first year, tuition reimbursement policy, paid sabbaticals, and more!A Culture of Caring: MedAmericans not only like working together, but care about one another personally and professionally. We host fun staff activities, health and wellness programs, employee recognition programs, and so much more.Location, Location, Location: We are located in the Emeryville Watergate business park overlooking the San Francisco Bay -- just minutes away from San Francisco and the East Bay. Your Life. Your Career. Your Success. Apply Today!MedAmerica is an Equal Opportunity Employer.","201-500","Health Care Services & Hospitals"
"308",NA,4.6,"$60k-$97k","Tampa","FL",NA,"1-50",NA
"309","Microsoft",4,"$116k-$158k","Redmond","WA"," Security, governance and compliance are focus areas as enterprise IT moves to cloud. Identity governance and management team in Azure Active Directory Group is focused to provide the game changing solutions in this fast-growing space. We are experimenting and using new technologies, innovations, through experimentation, data analysis & customer connection in delivering software and services to address customer issues.  One big part of the effort is to leverage data insights to help customer to meet their identity access security and governance needs. We are looking for scientists who are passionate about data and want to apply machine learning techniques to work with us to achieve that.  You will work with data from diverse structured and unstructured data sources and collaborate with a team of experts in machine learning, distributed systems, program management on the vision, scenario/feature planning, execution and delivery of scalable machine learning solution in the cloud or on premise. You will work on all aspects of the design, development and delivery of machine learning enabled solutions including problem definition, data acquisition, data exploration and visualization, feature engineering, experimenting with ML algorithms, evaluating and comparing metrics, deploying the models, iteratively improving the solution, building the tools for this process etc. QualificationsA strong candidate will typically have the following background and skills:Background in Computer Science, Electrical Engineering, Statistics, Physics, Mathematics, Operations Research or equivalent technical fieldPhD or MS degree1+ years of experience in Data Science, software engineering or machine learningSolid knowledge of machine learning and data mining techniques (classifications, regressions, anomaly detection, clustering, recommenders)Working experience in solving real world machine learning problemsAbility to formulate business requirements into machine learning problems, prototype statistical analysis and modeling algorithms and apply these algorithms for data driven solutions to problems in new domains Software development skills in Python/R/Microsoft R/SQL, and one or more high level languages (C#/C/C++/Java)Expertise in any of the common ML tools (R, Scikit Learn, TLC, etc.)Knowledge and skills in Hadoop, Spark, Hive, etc.Deep learning knowledge and tools is a plusAbility to build production grade machine learning enabled solutions end to end Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings:  Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.  Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request to askstaff@microsoft.com.","10000--1","Computer Hardware & Software"
"310","Epiworks",4.7,"$66k-$101k","Champaign","IL","Overview:II-VI EpiWorks is seeking a Data Scientist in our Quality Department to support its semiconductor manufacturing operations. This position supports the company’s ISO 9001:2015 Quality system. This position requires creative problem solving, cross-functional communication, team work, and technical, documentation and presentation skills. Candidates should demonstrate an exceptional ability to quickly adapt to ambiguous business objectives, while clearly communicating the value of advanced analytics to a technical audience.Primary Responsibilities:Support the maintenance and improvement of the quality management system (QMS).Compile and write control plans, procedures, work instructions and checklists for products as controlled documents within the QMS.Identify improvement opportunities through the use of advanced statistics problem solving techniques, mathematical modeling, quantitative analysis and data modelling to improve and sustain process effectiveness.Assist as a quality lead in development and implementation of improvement plans to reduce variation about the mean of various process parameters.Report the results of supplier audits, surveys and evaluations based on the supplier’s ability to provide products meeting specifications and requirements.Perform internal audits including pre-audit planning, audit execution, evaluation, post audit follow up and recommendations.Performs duties in compliance with all safety rules and regulations required by Company, Federal, State and Local provisions. (Safety)Performs other duties within the scope of job assignment as assigned by Supervisor.Requirements Include:Master’s degree in a technical discipline, such as applied mathematics, statistics, decision science, econometrics, engineering, or computer science.Experience with system and data analysis tools and data structure including spreadsheets (Excel), programming (e.g., C++, VB), and data (e.g., Access, Oracle, data/text mining, SQL, SQL Servers, Mathematica, SAS, JMP, and Minitab).Interested candidates should apply here.","51-200","Electrical & Electronic Manufacturing"
"311","Schaeffler Group",3.2,"$73k-$112k","Fort Mill","SC","Schaeffler, a global automotive and industrial supplier, is seeking a Data Scientist for our facility in Fort Mill, SC. The primary function of this position is the development and expansion of analytical platforms and solutions.Key responsibilities include but not limited to:Rapidly perform exploratory data analysis, generate and test working hypotheses, and uncover interesting trends and relationshipsPreparation of large data volumes, data mining and model building, creation of system prediction and system optimization modelsAnalyze and model structured data and implement algorithms to support analysis using advanced statistical and mathematical methods from statistics, data mining, econometrics, and operations researchPerform advanced analytics techniques to mine unstructured data, using methods such as document clustering, topic analysis, named entity recognition, and document classificationMethodological guidance in the field of analytics, particularly for exploratory and predictive analysesDevelopment and expansion of analytical platforms and solutionsQualified candidates will have:Bachelor’s or Master’s Degree in Computer Science, Business Information Systems Management, Mathematics or related fieldStrong quantitative analysis background and experience in working with large, complex data systems to aggregate, organize, and prepare data for use in business analysisExcellent understanding of complex data-based systems comprising relational and non-relational dataDeep experience in extracting, cleaning, preparing and modeling dataStrong knowledge in at least one of the following fields: statistics, data mining, statistics, operations research, econometrics, and/or information retrieval (machine learning and natural language processing is a plus)Data visualization and/or power point presentation skills to effectively communicate insights is a plusProficiency in analysis (i.e. R, Python) packagesKnowledge of structural equation modeling, machine learning/AI and domain-specific languages (e.g. DSL)Schaeffler is an Equal Opportunity Employer/Minorities/Females/Disabled/Veterans","10000--1","Industrial Manufacturing"
"312","Grand Rounds",4.2,"$132k-$184k","San Francisco","CA","The Role:Data Scientists at Grand Rounds work on problems that are core to the companys mission. Major challenges include developing systems and models to identify the highest quality doctors in the country as well as methodologies to uncover the subtle differences between each physicians clinical expertise. Additionally, patient-level modeling allows us to understand the specific healthcare needs of every person. With a high fidelity understanding of both patients and physicians we are able to route patients to both appropriate and high quality care.In addition to developing the companys core technologies, data scientists provide decision support analysis for many teams across the organization including product development, sales, marketing, and strategy. Data scale ranges from small data sets to large multi-terabyte clinical information in distributed database systems.About Us:Grand Rounds vision is to create a path to great health and health care, for everyone, everywhere. Founded in 2011, the company provides an employer-based platform that delivers improved outcomes for patients and their families. It does this through an end-to-end solution that connects patients with care informed by the latest and best practicespreventing and correcting misdiagnoses and unnecessary or failed treatments. Named second among Glassdoors 2016 Best Places to Work, Grand Rounds helps restore individual health and quality of life, and offers employers lower health care spend and higher employee productivity.In your first 30 days, you will: Onboard with the Grand Rounds team in San Francisco, setup your dev environment, get access to data systems, and become familiar with the tech stackLearn about on-going initiatives involving data scientists, product managers, and engineersSpend time with members of the Analytics, Medical, and Patient Care teams and learn how our teams collaborateBecome familiar with the data landscape and hit the ground running by joining a project team In your first 60 days, you will: Get familiarized with clinical data.Master the ins and outs of claims data: ICDs, CPTs, etc.Learn how to use and navigate our various databases and write scripts using our data for various analysesLearn about our existing code-base and best practicesCollaborate with other data scientists to help build our patient-physician matching products In your first 90 days, you will: Integrate into long-term multi-data-scientist ventures and deliver on one or several short-term individual projectsPerform analyses that help us better understand patients and/or physicians, while helping you get familiarized with our dataSpend time with Staff Physicians and other medical domain experts to learn about the world of healthcareDevelop an understanding of both immediate business objectives as well as longer term company aspirations to develop intuition around prioritization and trade-offs between short-term deliverables and longer term R&D effortsResponsibilities:Develop creative solutions to diverse problems including engineering challenges, unstructured data messes, ontology development, and machine learning applicationsLead and develop major projects from end-to-end encompassing planning, design, technical implementation, debugging, roll-out to Product & Engineering, testing, and iterationOperate at level of sophistication in statistics, machine learning, or computer science that is publication-worthyRegularly monitor pull requests, perform code reviews, and produce excellent peer reviews on projects prior to shipping to Product & EngineeringEvaluate and experiment with new technologies and tools prior to wider adoption by the teamWork closely with analysts, data scientists, product managers, and engineersQualifications:Minimum 2 years of industry production experience as a Data Scientist or EngineerExcellent verbal communications, including the ability to clearly and concisely articulate complex concepts to both technical and non-technical collaboratorsDegree(s) should be in a technical discipline such as Computer Science, Computational Biology, Engineering, Statistics, Physics, Math, quantitative social scienceExperience with SQL relational databases as well as big data: the Hadoop ecosystem, Hive, Spark, Presto, Vertica, Greenplum, etcRequired: SQL, Python, R, linux shell scriptingDesired: Scala, Java, or RubyExperience with machine learning and computational statistics packagesExperience with visualization toolsFrequent user of cloud computing platforms such as Amazon Web Services, Microsoft Azure, or Google Cloud PlatformBonus Points: previous work on medical applications and/or with claims dataThis is a full time position located in San Francisco, CA.----Grand Rounds is an Equal Opportunity Employer and considers applicants for employment without regard to race, color, religion, sex, orientation, national origin, age, disability, genetics or any other basis forbidden under federal, state, or local law. Grand Rounds considers all qualified applicants in accordance with the San Francisco Fair Chance Ordinance.","201-500","Health Care Services & Hospitals"
"313","Corning",3.6,"$74k-$114k","Corning","NY","","10000--1","Electrical & Electronic Manufacturing"
"314","University of Chicago",3.8,"$56k-$88k","Chicago","IL"," Unit Job Summary The Role:  The University of Chicago Crime Lab is seeking a Data Scientist to work on social science research projects designed to test the effectiveness of predictive models. The position offers the opportunity to work directly with leading social policy researchers, at the University of Chicago and NYC-area universities, local city agency staff, as well as a team of administrative staff, research managers, analysts, and student research assistants. The Data Scientist will be working directly with faculty director, Jens Ludwig, and faculty affiliate, Sendhil Mullainathan from Harvard University. Duties and Responsibilities:Under the guidance of the faculty director contributes to the design, implementation, and evaluation of predictive models that draw on disciplines such as machine learning, natural language processing, and social network analysis and which require entity disambiguation and the merging of large datasets.Builds and maintains strong relationships with researchers working on machine learning and all participating partner organizations, government agencies, nonprofits, and other relevant stakeholders.Prepares project memos, summaries, presentations, manuscripts, and other work for dissemination targeting policymakers, academic researchers, and other stakeholders.REQUIRED APPLICATION MATERIALS: Submit resume, cover letter, writing sample, and unofficial transcripts. Education Bachelor's degree in computer science, statistics, economics or a closely related field required; master's degree preferred. Experience A minimum of two years related work experience (may be part-time) required.  Experience with statistical data analysis using Python, R, Stata, SQL, C++, and/or Java strongly preferred.  Experience working with large and complex datasets strongly preferred. Competencies Strong interpersonal skills and ability to maintain positive relationships with various stakeholders required.  Strong initiative and a resourceful approach to problem solving and learning required.  Ability to work independently and as part of a team in a fast-paced environment required.  Sound critical thinking skills required.  Strong attention to detail with superb analytical and organization skills required.  Excellent written and verbal communication skills, with the ability to present data in a simple and straightforward way for non-technical audiences required.  Knowledge and understanding of crime policy and violence research literature strongly preferred. Required Job Seeker Documents Resume  Cover Letter  Other  Writing Sample Optional Job Seeker Documents Work Location Other Other Work Location 33 N. LaSalle St., 16th floor, Chicago, IL. 60602 Work Schedule Full-Time Hours/Week5 If other than regular hours (M-F, 8:30-5:00) please detail Flexible Benefits Eligible? YesUnion (If applicable): Non-Union Pay Grade NA Pay Range Depends on Qualifications Pay Frequency Monthly Does this position require incumbent to operate a vehicle on the job? No Is a Background Check Required? Yes Is Drug Testing Required? No Employee Referral Bonus Amount None Posting Date 07-21-2017 Remove from posting on or before 01-21-2018","10000--1","Colleges & Universities"
"315","Apple",4,"$135k-$190k","Santa Clara","CA","Data Scientist Job Number: 113052556Santa Clara Valley, California, United StatesPosted: Sep. 19, 2017Weekly Hours: 40.00 Job Summary  Imagine what you could do here. At Apple, great ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your job and there’s no telling what you could accomplish.  We’re looking for talented data scientists, machine learning scientists, and strong engineerings (at all levels of seniority) interested in building products and initiatives from the ground up. This is a brand new team driving data efforts across the iCloud org.  In this role, you’ll implement novel machine learning algorithms, drive data science analysis for decision making, and build efforts through to production at massive scale. These systems help us understand and improve Apple’s user experience, and are an important part of our strategic focus optimizing user experience and engagement with personal iCloud accounts. You’ll work in a small and dynamic team, building new functionality and collaborating across groups. You’ll also participate in designing systems, algorithm development, and optimization efforts to ship big impact.  This position requires a broad set of software engineering skills, with particular focus on strong data-driven thinking including experience building and deploying machine learning algorithms, optimization efforts, and/or data science driven systems. You should have experience working with massive datasets and shipping production scale systems.Key Qualifications Satisfy one of: (a) PhD in Machine Learning, Statistics, Optimization or related field, with experience building production systems, or (b) MS in CS with 4+ years of experience in working with large data-driven projects, or (c) BS in CS with 6+ years of experience in the industry with at least 3 years in data science / machine learning.Proven track record delivering production software.Deep fluency in Java, C++, or another production language.Experience with Spark, Hadoop, MPI, or other distributed frameworksSolid mathematical knowledge; understanding of machine learning, statistics.Strong data-driven thinking.Description  Develop and implement new machine learning algorithms and data science systems.  Produce high quality code with excellent reliability and scalability.  Explore novel architectural solutions and communicate ideas clearly.  Collaborate in cross-functional teams to prototype new concepts and deliver end-to-end systems.  Technical leadership experience a plus. Education B.S. in Computer Science with 6+ years experience  M.S. in Computer Science with 4+ years experience  Ph.D. in CS, industry experience a plus","10000--1","Computer Hardware & Software"
