"","company","rating","salary","city","state","description","companysize","industy"
"24","Jo-Ann Stores",2.8,"$76k-$120k","Hudson","OH"," Want to love where you work? At Jo-Ann Fabric and Craft Stores, our team members are the key to our ability to achieve our mission – to spark the creativity that lives in every person. When you shop our stores, not only will our stores and the products we sell excite you, you will quickly notice that our teams are inspired to provide exceptional service. They are the reason we are the best fabric and craft retail brand in the country. They are why our customers love to shop our stores. In each of our 850+ locations throughout the U.S., you will find our Team Members directly interacting with customers and assisting with operational, merchandising, and receiving tasks throughout the store. If you are dynamic, energetic and have a passion for serving and inspiring creativity, you will love working at Jo-Ann. Summary The Data Scientist is responsible for uncovering insight from vast quantities of information and building models to drive business performance. Through mining data from Jo-Ann’s 50M+ article-site combinations, will evaluate opportunities across the entire value chain including sales, forecasting, inventory management, and sourcing. ScopeBuilds descriptive, predictive, prescriptive models.Cleanse and verifies the data used in models.Collaborates with cross-functional teams including inventory management and merchandising to drive execution of models.Performs ad-hoc requests and presents results clearly.Establish strong working relationships with cross-functional teams including IT, Inventory Management, Store Operations, and Merchandising.Education RequirementsMinimum: Bachelor Degree in Computer Science or Industrial Engineering.Preferred: MBA, Masters in Supply Chain, Masters in Computer Science.ExperienceMinimum: 0-2 years’ programming experience.Preferred: 3+ years of analytical/ programming experience.Other SkillsStrong problem solving skills; Ability to explain complex concepts simplistically. Our company is an Equal Employment Opportunity Employer. This job summary is intended to be brief and does not list all the duties for this position. Nothing in this job description should be construed as an express or implied contract of employment. Jo-Ann Stores, LLC. is an at-will employer, which means that your employment may be terminated by the Company or yourself with or without notice or cause unless the at-will arrangement is modified by a written agreement signed by both you and the Chief Executive Officer of the Company.","10000--1","Toy & Hobby Stores"
"25","USAA",3.7,"$70k-$107k","San Antonio","TX"," Purpose of JobData Scientist I uses advanced techniques that integrate traditional and non-traditional datasets and method to enable analytical solutions; Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications; participates in building analytical solutions leveraging internal and external applications to deliver value and create competitive advantage; Translates complex analytical and technical concepts to non-technical employees  We are currently seeking a talented Data Scientist I for our San Antonio, TX facility.Job Requirements Partners with other analysts across the organization to fully define business problems and research questions; Supports SME's on cross functional matrixed teams to solve highly complex work critical to the organization.Integrates and extracts relevant information from large amounts of both structured and unstructured data (internal and external) to enable analytical solutions.Conducts advanced analytics leveraging predictive modeling, machine learning, simulation, optimization and other techniques to deliver insights or develop analytical solutions to achieve business objectives.Supports Subject Matter Experts (SME's) on efforts to develop scalable, efficient, automated solutions for large scale data analyses, model development, model validation and model implementation. Works with IT to research architecture for new products, services, and features.Develops algorithms and supporting code such that research efforts are based on the highest quality data.Translates complex analytical and technical concepts to non-technical employees to enable understanding and drive informed business decisions.Minimum RequirementsMaster's degree or 1 year in predictive modeling, large data analysis and computer scienceExperience in statistics and research.Experience in machine learning, and other advanced mathematical techniques (e.g., neural nets, simulation, graph analysis)Experience in at least one dynamic scripting language (Python, PERL, Ruby, Javascript)Bachelor's degree in Computer Science, Applied Mathematics, Engineering, Business Analytics, Quantitative Finance, Economics, Statistics, or related field.Qualifications may warrant placement in a different job level.* When you apply for this position, you will be required to answer some initial questions. This will take approximately 5 minutes. Once you begin the questions you will not be able to finish them at a later time and you will not be able to change your responses. PreferredFamiliarity of process improvementFamiliarity with algorithm deploymentKnowledge of statistical and machine learning tools and softwareContact Center Operations research backgroundDistribution Channel Data research background The above description reflects the details considered necessary to describe the principal functions of the job and should not be construed as a detailed description of all the work requirements that may be performed in the job.  At USAA our employees enjoy one of the best benefits packages in the business, including a flexible business casual or casual dress environment, comprehensive medical, dental and vision plans, along with wellness and wealth building programs. Additionally, our career path planning and continuing education will assist you with your professional goals.  USAA also offers a variety of on-site services and conveniences to help you manage your work and personal life, including seven cafeterias, two company stores and three fitness centers. Relocation assistance is available for this position. For Internal Candidates: Must complete 12 months in current position (from date of hire or date of placement), or must have managers approval prior to posting. Last day for internal candidatesto apply to the opening is 8/28/17 by 11:59 pm CST time.IMPORTANT: External Applicants When filling out your name and other personal information below, DO NOT use any special characters or ALL CAPS. Use only standard letters in the English alphabet. Including special characters or all uppercase letters will cause errors in your application.","10000--1","Insurance Carriers"
"26","Smith Hanley Associates",4.2,NA,"Irvine","CA"," Title: Senior Data ScientistLocation: Irvine, CASalary: $140,000 - 160,000Contact: Paul Chatlos, phcatlos@smithhanley.comThis is a director level position focused on supporting the business and analytical teams. The ideal candidate will have an extensive background in math and probabilities and advanced analysis expertise. A successful candidate will be passionate about finding insights in data and using quantitative analysis to answer complex questions, with a collaborative and resourceful style. The right candidate will need to operate independently and flexibly, identifying opportunities for insightful analytics and responding rapidly to ad hoc requests. The company supports some of the world's largest funds as an outsourced analytics and solutions provider. They are highly entrepreneurial, consistently evaluating different industries and markets for opportunities. Logical, linear thinking, and an ability to communicate rationale for analysis and defense of results will be important.Responsibilities:-Execute projects end-to-end, starting with problem formulation, solution architecture, as well as product implementation and integration-Research, develop and code the company's core statistical and machine learning models to conduct predictive and prescriptive modeling on the company's data and available and relevant third-party data-Integrate the outcomes as real time data products to elevate the company's ability to provide enhanced pricing and forecasting for mortality-based assets and investments-Synthesize facts, theories, trends, influences and key issues and/or themes in complex and variable situations-Apply advanced math and statistical tools and programming languages to invent and evaluate algorithms/model designs to solve problems and guide business decisions-Evaluate tools and techniques that can raise the level of analytics at the company Qualifications:-Masters / PhD degree in Computer Science, Statistics or Applied Math or related field required -A minimum of 7 years' experience in a technical role, including a minimum of 3 years in a data science role required-Strong programming background in SQL-Expert level knowledge of building algorithms in Python or R-Experience deploying statistical (Logistic Regression, Time Series/ Survival Analysis, Bayesian) and machine learning (Decision Trees, SVM, Clustering) algorithms-Interest in exploring and applying deep learning (CNN, RNN, GAN) to unstructured data -Strong presentation and communication skills-The following are considered pluses in an ideal candidate:-Previous experience presenting or lecturing to large groups-Experience working with large datasets using big data technologies (Spark, Hive, Hadoop) ","1-50","Staffing & Outsourcing"
"27","Bose",3.6,"$92k-$138k","Framingham","MA","Job Description Bose Corporation is a research company dedicated to developing breakthrough technologies and quality products that enrich people's lives. Reaching our goals requires uniquely talented individuals with a strong desire to grow and achieve – individuals who share the values of passion, innovation, excellence and integrity that are embedded throughout our organization today.  Understanding how customers use our products is key to our success. The Market and Data Analytics team analyzes millions of data points collected during product use to inform data-driven decisions that improve our products and marketing. We are seeking a highly motivated data scientist who can transform raw data into meaningful insights, providing actionable recommendations that influence our stakeholders to take action. This individual will be part of a team that applies advanced statistical modeling, data visualization, and storytelling to strengthen Bose’s competitive position in the marketplace. Specific responsibilities include:Mine, analyze, and model large structured and unstructured datasets, and apply advanced statistical predictive models and leading machine learning algorithms to solve business questions.Creatively translate business problems into a subset of data science problems that leverage appropriate methodology (e.g., classification, regression, clustering, probability estimation, etc.), evaluate the results rigorously, and transform the results into insights and recommendations that are clearly communicated to the business.Rigorously evaluate data quality for current and new data sources to ensure completeness, accuracy, and appropriate interpretation. Work with CIS colleagues to improve data quality monitoring and consistency.Identify and leverage appropriate tools/techniques, including Python, Spark, R, SQL, Tableau, and/or Impala. <U+200B>Work with data systems professionals to develop the infrastructure and format for new data sources so they can be leveraged and analyzed.Champion and educate the business and product owners on ways to extract value from data that can be collected from our productsRequirements:5+ years of experience applying quantitative skills to solve actual business problemsStrong foundation in data science and advanced analytics, including experience with algorithms, statistics and graphing softwareStrong technical skills, including experience with query, modeling, and data visualization tools. Python, SQL and Tableau experience strongly desired.Strong communication skills, with the ability to communicate statistical output in a manner that is engaging, understandable, and influentialStrong initiative, attention to detail, and ability to multi-taskExperience with business operations and analytics. Education:Bachelor’s degree in a quantitative disciplineMaster’s Degree preferred Bose is an equal opportunity employer that is committed to inclusion and diversity. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, age, disability, veteran status, or any other legally protected characteristics. For additional information, please review: (1) the EEO is the Law Poster (http://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf); and (2) its Supplements (http://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm). Please note, the company's pay transparency is available at http://www.dol.gov/ofccp/pdf/.pdf. Bose is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the application or employment process, please send an e-mail to Wellbeing@bose.com and let us know the nature of your request and your contact information.","10000--1","Consumer Products Manufacturing"
"28","Esri",3.7,"$111k-$155k","Redlands","CA"," Overview  Machine learning is the top focus of almost every technology company--from the Silicon Valley to New York to around the world. What makes this type of technology so powerful? Context. Focusing on the where allows us to make sense of our businesses, lives, and world, whether that’s through automating portions of workflows to save companies millions of dollars or predicting life-altering events.  We are looking for talented machine learning engineers to help build industry-leading predictive geospatial solutions for our customers in 160+ countries. We need a data scientist who is an individually driven, passionate professional to help us create machine learning best practices, not only within Esri but also for the broader GIS community. This game-changing opportunity requires someone with strong hands-on, proven experience with statistical analysis, machine learning, predictive analytics, and software engineering.  If you are passionate about changing the world, literally, through machine learning you are in the right place. Where will you leave your mark?Responsibilities:Apply data mining and machine learning techniques, perform statistical analysis, and build high-quality prediction systems that solve our customers' business problemsExplore, interpret, and analyze datasets for patterns of interestWork closely with various teams to understand our customers’ needs, eventually crafting and pitching machine learning use cases to themModel business problems to machine learning ones, map business data to dependent and independent features, perform proper feature engineering, iterate with different predictive models, and conduct hyper parameter optimization to yield highest prediction accuracy to deploy the model to productionHelp build the data science and machine learning capability inside Esri by developing best practices and patterns for geospatial machine learning, developing reusable technical components for demos and POCs, and identifying and helping establish the needed technology stack and infrastructureKeep up-to-date with latest technology trends in machine and deep learning and quickly learn about new frameworks/techniques to be used in projects deliveryRequirementsAt least 2+ years of practical expeirenceDeep understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.Experience in at least one of these toolkits: R, Weka, SciKitl-learn, MATLABFamiliarity with machine learning frameworks/libraries/packages/APIs (e.g., Theano, Spark MLlib, H2O, TensorFlow, PyTorch, etc.)Proven experience in ETL, data processing, transformation, cleaning, and data warehousing techniquesExperience with applied statistics skills, such as distributions, statistical testing, and regressionExperience with widely used probability methods (conditional probability, Bayes rule, likelihood, independence, etc.)Experience with time series analysisExperience with data visualization techniques and tools (e.g., ggPlot2)Good software engineering background (OOP, data structures, algorithms, computability, and complexity)Excellent conversation and communication skillsBachelor’s in a relevant quantitative field, such as statistics, operations research, or computer science, depending on position level (master's or PhD preferred)Recommended Qualifications:Proven understanding of multivariable calculus and linear algebraExperience dealing with massive data sets, using big data tools (Hadoop HDFS, MapReduce, Accumulo, Presto, MongoDB, Cassandra, HBase, R, Mahout, Pig, and Hive, DC/OS)Hands-on experience and expertise with cloud computing services (AWS, Azure, etc.) The Company  Our passion for improving quality of life through geography is at the heart of everything we do. Esri’s geographic information system (GIS) technology inspires and enables governments, universities, and businesses worldwide to save money, lives, and our environment through a deeper understanding of the changing world around them.  Carefully managed growth and zero debt give Esri stability that is uncommon in today's volatile business world. Privately held, we offer exceptional benefits, competitive salaries, 401(k) and profit-sharing programs, opportunities for personal and professional growth, and much more.  Esri is an equal opportunity employer (EOE) and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.  ,  Data Scientist Location  US-CA-Redlands","1001-5000","Computer Hardware & Software"
"29","Spring Venture Group",4.4,"$61k-$88k","Kansas City","MO"," Overview Spring Venture Group is looking for a talented, passionate, and curious Data Scientist to help investigate our data and look for alternative ways to solve some of our complex business problems. Some projects we’re currently tackling include: maximizing profit with our lead buys through the usage of machine learning and optimization modeling, predictive churn modeling to measure customer flight risk, talent acquisition modeling, and the use of artificial intelligence and natural language processing to effectively communicate with prospects and current policy holders.  We are looking for a mixture between a statistician, machine learning expert and engineer: someone who has passion for building and improving internal processes informed by data. The ideal candidate understands human behavior and knows what to look for in the data, and should have a solid foundation of the statistics behind standard statistical design methods such as A/B testing and multivariate testing.  This role has the potential for massive impact on Spring Venture Group’s growth trajectory. If you have a background in statistics, mathematics, or analytics and are interested in applying it to grow Spring Venture Group, we want to hear from you!ResponsibilitiesDevelop strategies to extract, resolve, and unify information of various types from numerous disparate data sourcesDevelop new technologies and machine learning process to support company initiativesProvide detailed reporting on working projectsProvide guidance and input on new and innovative ways to improve current data science stackQualificationsProficiency in SQL and Python, with an emphasis on using pandas and scikit-learn librariesHigh degree of proficiency and competency with machine learning methodologies and conceptsAn advanced understanding of business problem solvingVery familiar with database design and implementationOperationally focused – understands what metrics to track and how to use them to identify and diagnose areas for optimization Spring Venture Group is an Equal Opportunity Employer.","201-500","Insurance Carriers"
"30","Sonos",3.6,"$155k-$215k","Seattle","WA"," At Sonos, we're passionate about bringing music into every home. To fulfill this mission, we have developed an unquenchable thirst for data. We use data to understand how our products are performing, which features need to be improved, design future products, and learn how our customers experience music in their homes. If you like music and data, this is a dream job.  The ideal candidate is a creative and passionate problem-solver who thinks big and is motivated to improve products using quantitative techniques.* Work with engineering teams to define, capture, and analyze data in order to understand the customer experience, find pain points, identify error states, and measure if we are achieving our product goals. Work with data engineering to design the data processing needed for our analytics pipeline.Identify trends and correlations in the data that will inform Product KPIs, work with data engineering and data analysts to build dashboards.Identify business problems where you can apply machine learning techniques, build prototypes, and work with engineering to productize.Communicate methodology, insights and recommended areas for further research to engineering teams and group leaders.* Graduate degree in Engineering, Computer Science, Mathematics, or equivalent5+ years experience applying statistical data analysis to real-world problems5+ years experience with data transformation and analysis tools and languages including SQL, R, and PythonExperience with distributed computing (Hadoop/Spark)Experience in building machine learning solutions and optimization techniquesExceptional written and verbal communication skills - the ability to present data and analysis in a way that doesnt require a statistical background to understand","1001-5000","Music Production & Distribution"
"31","Backcountry",3.2,"$67k-$97k","Park City","UT"," The Data Scientist provides analytic and strategic support to address key questions across a portfolio of businesses including Backcountry, Competitive Cyclist, and Steep & Cheap. The Data Scientist will apply sophisticated machine learning and data mining algorithms to unlock insights about our businesses and our customers. The Data Scientist must have extensive experience aggregating, manipulating and analyzing large and disparate data sets. About the Job:Help implement an in-house matrix factorization-based recommender system that finds which customers are the best targets for a specific product, product category or brandHelp our Gearhead Operations Team (customer service/outbound sales) better understand the Backcountry customer baseDevelop predictive models by adapting existing work or through original researchImplement models (and all preceding steps) as production-ready codeLeverage Backcountry’s massive data sets for novel analyses used for both actionable insights delivered to the acquisition and retention teams as well as the development of new models for Backcountry’s proprietary personalization engineWork across finance, merchandising, and operations teams to improve key pricing, product assortment and inventory management analyses and processesNice To Have:Familiarity with digital marketing, direct response marketing and marketing KPIsExperience with databases and software specifically designed to handle computation on very large datasets.Experience with web analytics tool such as Omniture or Google AnalyticsExperience using SQLFamiliarity with business intelligence tools such as Oracle Business Intelligence, SAP, Tableau or othersAbout You:The successful candidate will take accountability and ownership of his/her own work, be proud of what he/she does and hold himself/herself to a very high standard2+ years of professional experience in data science and/or a Ph.D in computer science, mathematics, statistics, economics, sciences, or other quantitative fieldExtensive experience with one or more statistical programming language like R or mathematical packages in another free or open-source programming language.Experience with Ruby, Python, or other free or open-source scripting language.Command of Microsoft Office applications, particularly Microsoft Excel","501-1000","Department, Clothing, & Shoe Stores"
"32","Sony PlayStation",3.4,"$96k-$122k","San Mateo","CA"," Recognized as a global leader in interactive and digital entertainment, Sony Interactive Entertainment (SIE) is responsible for the PlayStation® brand and family of products and services. PlayStation has delivered innovation to the market since the launch of the original PlayStation in Japan in 1994. The PlayStation family of products and services include PlayStation®4, PlayStation®VR, PlayStation®Vita, PlayStation®3, PlayStation®Store, PlayStation®Plus, PlayStationVideo, PlayStationMusic, PlayStationNow, PlayStationVue, PlayStation®Original and acclaimed PlayStation software titles from SIE Worldwide Studios. Headquartered in San Mateo, California, SIE is a wholly-owned subsidiary of Sony Corporation and has global functions and regional headquarters in California, London and Tokyo. Data Analyst, CRM & Paid MediaSan Mateo, CA As one of the leaders in gaming and an innovator of entertainment overall, PlayStation is indeed the Best Place to Play. Come be a part of the growing CRM and Paid Media analytics teams in a role that reports directly into the Manager of CRM and Paid Media analytics, where you are a key driver in ideating campaigns, analyzing results, influencing marketing strategies and optimizing the customer journey in a dynamic and innovative environment tailored towards giving our customers the best experience.  You will have a hand in shaping our portfolio strategies across a wide and varied range of products, from delivering the best and highly anticipated games like Uncharted 4 and God of War, to innovative devices that change the landscape of gaming like PlayStation VR, even to disruptive network service products like PlayStation Vue. You will be generating actionable insights that drive how we engage our customers and have a hand in key decision making scenarios with a variety of our product marketing groups by using a scientific approach of testing and optimization as well as technological advancements to champion automation and efficiency. This will also involve working collaboratively with many different parts of the organization, including marketing, engineering, business intelligence, data scientists, and external agencies. This will put you at the forefront of our growing marketing strategies by being a thought leader with a wide skillset in statistics, analytics, and data-driven storytelling.  We are looking to fill a new Data Analyst, CRM & Paid Media role to make us a bigger and better team to assist with our marketing operations company wide. Together as gaming and customer experience advocates, we can show how PlayStation is truly the Best Place to Play. ResponsibilitiesWork collaboratively with campaign managers as the subject matter expert on our ecosystem of data to create custom segments and support campaign executionsPerform and report post campaign analysis that provide actionable insights on how to better communicate to our user baseCompile reports and conduct presentations to a wide variety of product and marketing teams to shape strategic and operational decisionsAdvise on campaigns, including but not limited to lifecycle triggers and large scale testing strategies, using data-based insights with the goal of optimally achieving KPIsTranslate business challenges into testable hypotheses, own/manage execution, tracking and results in ways that change the way we do businessMine and analyze a broad array of quantitative and qualitative data assetsWork across numerous internal and external marketing automation platforms (Sales Force Marketing Cloud, DMPs, Publisher and Social Partners, etc)Create and manage innovating reporting dashboards that track customer behavior and campaign performance against target benchmarks over timeUse exploratory data analysis to identify new marketing and optimization opportunitiesDefine and implement customer segmentation and profiling strategiesRun ad-hoc and scheduled customer lists to power PlayStations digital marketing channelsMinimum Qualifications:SQL programming experience requiredMinimum 1-3 years experience working with relational databasesMinimum 1-2 years analytics experience, preferably within marketingAbility to collaborate and communicate effectively with a diverse group of partners including marketing, technical teams, and agenciesDemonstrable track record of data project management, thought leadership, and self-directionA passion for and the belief in the power of making data-driven decisionsA demonstrated interest in digital entertainment and gamingBA/BS degree requiredPreferred qualifications:Well versed in spreadsheet modeling and presentation-making skills that effectively present data in a compelling way, both verbal and written, to influence marketing decisionsDemonstrated analytical and quantitative skillsskilled at analyzing and deriving meaningful insights out of complex data and translating that into actionable strategiesPassionate about gaming and video game cultureSkilled in various programs such as Adobe Analytics and Google AnalyticsExperienced with BI visualization tools such as Tableau or MicrostrategyExecuted analysis projects related to lifecycle marketing, targeting segmentation strategies, cohort analysis and tracking, churn prevention, A/B and multivariate tests, and reporting dashboard design and development Sony is an Equal Opportunity Employer. All persons will receive consideration for employment without regard to race, color, religion, gender, pregnancy, national origin, ancestry, citizenship, age, legally protected physical or mental disability, covered veteran status, status in the U.S. uniformed services, sexual orientation, gender identity, marital status, genetic information or membership in any other legally protected category.  We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond.  We sincerely appreciate the time and effort you spent in contacting us and we thank you for your interest in PlayStation. #LI-VD1","5001-10000","Video Games"
"33","Lyft",3.8,"$129k-$179k","San Francisco","CA","Lyfts Data Science Team builds mathematical models underpinning the platforms core services. Compared to other technology companies of a similar size, the set of problems that we tackle is incredibly diverse. They cut across optimization, prediction, modeling, inference, transportation, and mapping. We are hiring motivated experts in each of these fields. The ideal candidate is a critical thinker, is passionate about solving mathematical problems with data, and is excited about working in a fast-paced, innovative and collegial environment.RESPONSIBILITIES Work with Data Scientists and Product Managers to frame a problem, both mathematically and within the business contextPerform exploratory data analysis to gain a deeper understanding of the problemConstruct and fit statistical, machine learning, or optimization modelsWrite production modeling code; collaborate with Software Engineers to implement algorithms in productionDesign and run both simulated and live traffic experimentsAnalyze experimental and observational data; communicate findings; facilitate launch decisionsEXPERIENCE AND SKILLSM.S. or Ph.D. in Statistics, Operations Research, Mathematics, Computer Science, or other quantitative field2+ years professional or research experiencePassion for solving unstructured and non-standard mathematical problemsEnd-to-end experience with data, including querying, aggregation, analysis, and visualizationProficiency with Python, or another interpreted programming language like R or MatlabWillingness to collaborate and communicate with others to solve a problemTHE PROBLEMSData Science models power real-time, in-product decision making at Lyft. This includes efficiently matching passengers and drivers, predicting travel times and distances, balancing supply and demand in the network, and protecting our passengers and drivers against fraudsters. Data Scientists also build evaluation methodology for these foundational algorithms, including a high-fidelity simulation environment. Every new Lyft product, or step-change improvement in the efficiency of our platform, begins with a deep contribution from the Data Science Team.Lyft is an EEO employer that actively pursues and hires a diverse workforce, and pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.","1001-5000","Transportation Management"
"34","Thumbtack",4.5,"$39k-$64k","San Francisco","CA"," Thumbtack is a local services marketplace that connects customers with the right professionals for anything they need done. Every day we rally around the impact Thumbtack has on peoples lives - from house cleaners, to yoga instructors to general contractors, were helping small businesses grow and thrive. Join our growing team in the quest to build THE destination for anything you need done. About the Analytics Team Thumbtacks Analytics team is a tight-knit group charged with empowering Thumbtack to use data to guide decisions. We collaborate with teams across the company on a wide variety of impactful projects; everything from exploring click-level data on user experiences to evaluating the impact of a new business model on company performance. This role is about so much more than creating dashboards - its telling the story of our business in a way that inspires action. About the Role During this 12 week summer internship at Thumbtack, you will be paired with a mentor on the analytics team and work on a couple high-impact analytics projects. You will partner with teams across the company to better understand a product feature or an aspect of our marketplace. At the same time, youll be expected to contribute to our broader team and company data culture by sharing your learnings and informing decisions. ResponsibilitiesPartner with product, growth, marketing and operations teams to conduct in-depth quantitative analyses that guide strategic decisionsMake recommendations based on detailed analysis and a deep understanding of our businessBuild and maintain reports, models, and visualizations which provide insight into users experiences and business performanceContribute to our team and company data culture through peer collaborationMust-Have QualificationsCurrent junior with past analytical work/research experience or working toward a degree in Engineering, Math, Statistics, Economics or other quantitative disciplineProficiency using SQL, R, Python, or similar tool to analyze large datasetsSharp business judgement and the ability to see past the noiseStrong communicator, attentive listener and compelling explainerMore About Us Thumbtack is a local services marketplace that connects customers who need to get things done with local, skilled professionals who can help. From plumbers and painters to DJs and personal trainers, Thumbtack helps millions of customers find the right professional for their project in 1,000 unique categories. Founded in 2009 and headquartered in San Francisco, Thumbtack is backed by over $250 million in investment from Sequoia Capital, CapitalG, Tiger Global Management, Javelin Investment Partners and Baillie Gifford. Learn more about our culture, benefits, and perksFollow Thumbtack on LinkedIn Thumbtack embraces diversity. We are proud to be an equal opportunity workplace and do not discriminate on the basis of sex, race, color, age, sexual orientation, gender identity, religion, national origin, citizenship, marital status, veteran status, or disability status. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.","201-500","Internet"
"35","Lyft",3.8,"$115k-$162k","Seattle","WA","Lyfts Data Science Team builds mathematical models underpinning the platforms core services. Compared to other technology companies of a similar size, the set of problems that we tackle is incredibly diverse. They cut across optimization, prediction, modeling, inference, transportation, and mapping. We are hiring motivated experts in each of these fields. The ideal candidate is a critical thinker, is passionate about solving mathematical problems with data, and is excited about working in a fast-paced, innovative and collegial environment.RESPONSIBILITIES Work with Data Scientists and Product Managers to frame a problem, both mathematically and within the business contextPerform exploratory data analysis to gain a deeper understanding of the problemConstruct and fit statistical, machine learning, or optimization modelsWrite production modeling code; collaborate with Software Engineers to implement algorithms in productionDesign and run both simulated and live traffic experimentsAnalyze experimental and observational data; communicate findings; facilitate launch decisionsEXPERIENCE AND SKILLSM.S. or Ph.D. in Statistics, Operations Research, Mathematics, Computer Science, or other quantitative field2+ years professional or research experiencePassion for solving unstructured and non-standard mathematical problemsEnd-to-end experience with data, including querying, aggregation, analysis, and visualizationProficiency with Python, or another interpreted programming language like R or MatlabWillingness to collaborate and communicate with others to solve a problemThe Problems:Data Science models power real-time, in-product decision making at Lyft. This includes efficiently matching passengers and drivers, predicting travel times and distances, balancing supply and demand in the network, and protecting our passengers and drivers against fraudsters. Data Scientists also build evaluation methodology for these foundational algorithms, including a high-fidelity simulation environment. Every new Lyft product, or step-change improvement in the efficiency of our platform, begins with a deep contribution from the Data Science Team.Lyft is an EEO employer that actively pursues and hires a diverse workforce, and pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.","1001-5000","Transportation Management"
"36","WellCare",3.3,"$81k-$120k","Tampa","FL","LI-BB1 Provide leadership and analytics expertise for developing and supporting predictive models and other analytic algorithms. Catalyze team engagement with business analysts, product managers, communication experts, clinicians and others. Represent analytic/data science perspective within corporate. This position will be responsible for developing and supporting predictive models and other analytic algorithms. The person in this role will partner with business analysts, product managers, communication experts, clinicians and others to seek answers to key business questions through application of statistical analysis and data mining techniques. Essential Functions:Conduct statistical analysis to drive insights and strategic recommendations on member usage and user growth/retention.Develop models and metrics to track key engagement measures.Analyze health care claims and application activity data and external data sets to create predictive algorithms to gain insights.Automates existing models and metrics to track the product performance.Use statistical and econometric techniques on large datasets to analyze user behavior, engagement, retention, impact and attribution form, marketing, events, Synthesize analysis and results into compelling story lines, and communicate findings to senior executives and business partners.Evangelize the power of analytics to improve business and operations.Drive analytics projects across WellCare, from planning and data collection to presentation and decision support.Other duties as assigned.Additional Responsibilities:Candidate Education:Required A Bachelor's Degree in Information SystemsPreferred A Master's Degree/PHD in a related fieldCandidate Experience:Required 6 years of experience in data scientist, statistician or comparable quantitative positionRequired 3 years of experience in Health care experiencePreferred 2 years experience in leading/supervising others Experience leading analytic teamsPreferred Other Project Management experienceAdditional Requirements:Experience manipulating data in SAS, SQL, R, Python, Scala or similar.Proven experience in at least two technologies of the Data Science toolset (Spark, Tensorflow, R, Python)Proven experience with visualization tools such as (Tableau, D3 or similar)Preferred: Expertise in deep learning/artificial intelligenceHighly Preferred: Experience implementing an industrial scale stack for implementing machine learning models in production environmentEffective communication skills to interact with business stakeholders, understand situations, and explain discoveries and outcomesIndependent thinker and self-starterPassion and enthusiasm to answer complex problems using healthcare dataAbility and desire to mentor and collaborate with other Data ScientistsCandidates local (or those willing to relocate) to Tampa, FLExpertise applying regressions (linear, logistic, multivariate), trees, clustering, boosting, variable selection, model selection, etc.Candidate Skills:Advanced Demonstrated interpersonal/verbal communication skillsIntermediate Demonstrated written communication skillsIntermediate Ability to work as part of a teamAdvanced Ability to work in a fast paced environment with changing prioritiesBeginner Other Familiarity with Big Data technologiesIntermediate Other Passion and ability to surface insights from large data sets and build a data-driven narrativeAdvanced Other Experience working with large volumes of data using variety of statistical tools and techniquesIntermediate Other Ability to understand complex business problems and break down analytics projects into a structured approachIntermediate Other Knowledge of data sources, tools, statistical principles and methodologies, and techniquesLicenses and Certifications: A license in one of the following is required: Technical Skills:Required Intermediate Other Structured Programming Language (e.g., Java, C, Python, etc.)Required Intermediate Other Database Query constructionRequired Intermediate Other Big Data technologiesRequired Advanced Other Statistical tools (e.g., SPSS, SAS, ScyPy, etc.)Required Advanced Microsoft ExcelRequired Intermediate Microsoft ProjectPreferred Beginner Other Reporting Tools ( tableau, Cognos)Required Intermediate Microsoft VisioLanguages:","5001-10000","Insurance Carriers"
